regnr,model_year,fuel,body_type,price_sek,odometer_km,price_per_1000km,url
FYL442,2015,Diesel,SUV,189000,128700,1468.53,https://www.blocket.se/annons/1401820013
SEN87S,2023,El,Halvkombi,775000,25950,29865.13,https://www.blocket.se/annons/1400040287
ELP396,2016,Diesel,Halvkombi,73999,310190,238.56,https://www.blocket.se/annons/1401816757
OFK957,2016,Bensin,Kombi,110000,150,733333.33,https://www.blocket.se/annons/1401822300
BAU465,2017,Bensin,Halvkombi,349000,65000,5369.23,https://www.blocket.se/annons/1401697174
YPO057,2018,Bensin,SUV,207500,114680,1809.38,https://www.blocket.se/annons/1401817364
YJT312,2017,Bensin,Kombi,285000,130760,2179.57,https://www.blocket.se/annons/1401819047
OJZ856,2017,Diesel,Skåpbil,120000,59500,2016.81,https://www.blocket.se/annons/1401824772
YPO676,2022,Miljöbränsle/Hybrid,SUV,462500,134000,3451.49,https://www.blocket.se/annons/1401820855
UXW753,2016,Diesel,Kombi,127500,116170,1097.53,https://www.blocket.se/annons/1401784428
DRF132,2017,Diesel,Kombi,179900,187030,961.88,https://www.blocket.se/annons/1401808515
ESE221,2015,Diesel,Kombi,90000,177530,506.96,https://www.blocket.se/annons/1401816317
EFF16W,2019,Miljöbränsle/Hybrid,SUV,195000,124110,1571.19,https://www.blocket.se/annons/1401813476
